,C/A,UNIT,SCP,DATEn,TIMEn,DESCn,ENTRIESn,EXITSn
0,A002,R051,02-00-00,5/1/11,0:00:00,REGULAR,3144312,1088151
1,A002,R051,02-00-00,5/1/11,4:00:00,REGULAR,3144335,1088159
2,A002,R051,02-00-00,5/1/11,8:00:00,REGULAR,3144353,1088177
3,A002,R051,02-00-00,5/1/11,12:00:00,REGULAR,3144424,1088231
4,A002,R051,02-00-00,5/1/11,16:00:00,REGULAR,3144594,1088275
5,A002,R051,02-00-00,5/1/11,20:00:00,REGULAR,3144808,1088317
6,A002,R051,02-00-00,5/2/11,0:00:00,REGULAR,3144895,1088328
7,A002,R051,02-00-00,5/2/11,4:00:00,REGULAR,3144905,1088331
8,A002,R051,02-00-00,5/2/11,8:00:00,REGULAR,3144941,1088420
9,A002,R051,02-00-00,5/2/11,12:00:00,REGULAR,3145094,1088753
10,A002,R051,02-00-00,5/2/11,16:00:00,REGULAR,3145337,1088823
